district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ควนขนุน,ควนขนุน(เทศบาล),0,constituency,election_day,256,237,5,14,64,4,37,115,12,3,2
ควนขนุน,ควนขนุน(เทศบาล),1,constituency,election_day,337,322,6,9,76,9,50,163,22,0,2
ควนขนุน,ควนขนุน(เทศบาล),2,constituency,election_day,403,383,4,16,94,4,62,187,34,1,1
ควนขนุน,ควนขนุน(เทศบาล),3,constituency,election_day,206,199,1,6,23,5,41,112,17,0,1
ควนขนุน,ควนขนุน,0,constituency,election_day,384,378,4,2,134,8,23,201,11,1,0
ควนขนุน,ควนขนุน,1,constituency,election_day,305,297,5,3,100,1,23,167,6,0,0
ควนขนุน,ควนขนุน,2,constituency,election_day,639,605,15,19,150,2,76,336,35,2,4
ควนขนุน,ควนขนุน,3,constituency,election_day,707,675,17,15,226,5,78,310,56,0,0
ควนขนุน,ควนขนุน,4,constituency,election_day,381,371,5,5,166,6,38,144,16,0,1
ควนขนุน,ควนขนุน,5,constituency,election_day,623,598,12,13,240,6,51,270,27,1,3
ควนขนุน,ควนขนุน,6,constituency,election_day,374,360,9,5,35,2,37,252,33,0,1
ควนขนุน,ควนขนุน,7,constituency,election_day,208,203,5,0,63,1,5,128,6,0,0
ควนขนุน,ควนขนุน,8,constituency,election_day,80,77,0,3,8,0,9,47,11,2,0
ควนขนุน,ชะมวง,0,constituency,election_day,573,552,10,11,122,5,46,340,38,1,0
ควนขนุน,ชะมวง,1,constituency,election_day,194,182,5,7,56,2,19,96,9,0,0
ควนขนุน,ชะมวง,2,constituency,election_day,545,525,14,6,115,0,62,320,25,1,2
ควนขนุน,ชะมวง,3,constituency,election_day,185,181,2,2,47,1,5,122,6,0,0
ควนขนุน,ชะมวง,4,constituency,election_day,511,501,3,7,109,7,25,348,11,1,0
ควนขนุน,ชะมวง,5,constituency,election_day,326,315,6,5,43,1,10,248,12,0,1
ควนขนุน,ชะมวง,6,constituency,election_day,394,387,4,3,50,5,5,315,12,0,0
ควนขนุน,ชะมวง,7,constituency,election_day,360,347,8,5,30,3,23,248,41,2,0
ควนขนุน,ชะมวง,8,constituency,election_day,328,315,6,7,49,1,36,197,28,0,4
ควนขนุน,ชะมวง,9,constituency,election_day,196,191,1,4,44,0,18,116,10,1,2
ควนขนุน,ชะมวง,10,constituency,election_day,486,476,9,1,161,1,24,266,21,1,2
ควนขนุน,ชะมวง,11,constituency,election_day,296,285,5,6,83,1,13,174,14,0,0
ควนขนุน,ชะมวง,12,constituency,election_day,462,448,9,5,93,1,44,285,23,0,2
