district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,validation_error,has_validation_error,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type
ควนขนุน,ควนขนุน(เทศบาล),1,constituency,election_day,256,237,5,14,64,4,37,115,12,3,2,237,0,0.01953125,0.0546875,0.92578125,115.0,0.48523206751054854,0.21518987341772153,1.309891941414925,,False,97.9296875,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ควนขนุน(เทศบาล),2,constituency,election_day,337,322,6,9,76,9,50,163,22,0,2,322,0,0.017804154302670624,0.026706231454005934,0.9554896142433235,163.0,0.5062111801242236,0.2701863354037267,1.2895129853093166,,False,98.57566765578635,False,False,NORMAL
ควนขนุน,ควนขนุน(เทศบาล),3,constituency,election_day,403,383,4,16,94,4,62,187,34,1,1,383,0,0.009925558312655087,0.03970223325062035,0.9503722084367245,187.0,0.48825065274151436,0.24281984334203655,1.2832548637513697,,False,98.70967741935483,False,False,NORMAL
ควนขนุน,ควนขนุน(เทศบาล),4,constituency,election_day,206,199,1,6,23,5,41,112,17,0,1,199,0,0.0048543689320388345,0.02912621359223301,0.9660194174757282,112.0,0.5628140703517588,0.35678391959798994,1.2276942131796489,,False,99.1747572815534,False,False,NORMAL
ควนขนุน,ควนขนุน,1,constituency,election_day,384,378,4,2,134,8,23,201,11,1,0,378,0,0.010416666666666666,0.005208333333333333,0.984375,201.0,0.5317460317460317,0.17724867724867724,1.0740381982283507,,False,99.375,False,False,NORMAL
ควนขนุน,ควนขนุน,2,constituency,election_day,305,297,5,3,100,1,23,167,6,0,0,297,0,0.01639344262295082,0.009836065573770493,0.9737704918032787,167.0,0.5622895622895623,0.2255892255892256,0.9863620746473258,,False,98.98360655737704,False,False,NORMAL
ควนขนุน,ควนขนุน,3,constituency,election_day,639,605,15,19,150,2,76,336,35,2,4,605,0,0.023474178403755867,0.0297339593114241,0.94679186228482,336.0,0.5553719008264463,0.3074380165289256,1.168806431514007,,False,98.23161189358373,False,False,NORMAL
ควนขนุน,ควนขนุน,4,constituency,election_day,707,675,17,15,226,5,78,310,56,0,0,675,0,0.024045261669024046,0.021216407355021217,0.9547383309759547,310.0,0.45925925925925926,0.12444444444444444,1.2159445504588804,,False,98.37340876944837,False,False,NORMAL
ควนขนุน,ควนขนุน,5,constituency,election_day,381,371,5,5,166,6,38,144,16,0,1,371,0,0.013123359580052493,0.013123359580052493,0.973753280839895,166.0,0.4474393530997305,0.05929919137466307,1.178780665176336,,False,99.08136482939634,False,False,NORMAL
ควนขนุน,ควนขนุน,6,constituency,election_day,623,598,12,13,240,6,51,270,27,1,3,598,0,0.019261637239165328,0.02086677367576244,0.9598715890850722,270.0,0.451505016722408,0.05016722408026756,1.1586670635424892,,False,98.61958266452648,False,False,NORMAL
ควนขนุน,ควนขนุน,7,constituency,election_day,374,360,9,5,35,2,37,252,33,0,1,360,0,0.02406417112299465,0.013368983957219251,0.9625668449197861,252.0,0.7,0.5972222222222222,0.9743587012769385,,False,98.52941176470588,False,False,NORMAL
ควนขนุน,ควนขนุน,8,constituency,election_day,208,203,5,0,63,1,5,128,6,0,0,203,0,0.02403846153846154,0.0,0.9759615384615384,128.0,0.6305418719211823,0.32019704433497537,0.8753975656333323,,False,98.79807692307692,False,False,NORMAL
ควนขนุน,ควนขนุน,9,constituency,election_day,80,77,0,3,8,0,9,47,11,2,0,77,0,0.0,0.0375,0.9625,47.0,0.6103896103896104,0.4675324675324675,1.160290705337588,,False,99.25,False,False,NORMAL
ควนขนุน,ชะมวง,1,constituency,election_day,573,552,10,11,122,5,46,340,38,1,0,552,0,0.017452006980802792,0.019197207678883072,0.9633507853403142,340.0,0.6159420289855072,0.39492753623188404,1.0774519496915895,,False,98.7434554973822,False,False,NORMAL
ควนขนุน,ชะมวง,2,constituency,election_day,194,182,5,7,56,2,19,96,9,0,0,182,0,0.02577319587628866,0.03608247422680412,0.9381443298969072,96.0,0.5274725274725275,0.21978021978021978,1.134211207827406,,False,97.98969072164948,False,False,NORMAL
ควนขนุน,ชะมวง,3,constituency,election_day,545,525,14,6,115,0,62,320,25,1,2,525,0,0.025688073394495414,0.011009174311926606,0.963302752293578,320.0,0.6095238095238096,0.3904761904761905,1.064787909693716,,False,98.49541284403671,False,False,NORMAL
ควนขนุน,ชะมวง,4,constituency,election_day,185,181,2,2,47,1,5,122,6,0,0,181,0,0.010810810810810811,0.010810810810810811,0.9783783783783784,122.0,0.6740331491712708,0.4143646408839779,0.8568105610151688,,False,99.24324324324324,False,False,NORMAL
ควนขนุน,ชะมวง,5,constituency,election_day,511,501,3,7,109,7,25,348,11,1,0,501,0,0.005870841487279843,0.0136986301369863,0.9804305283757339,348.0,0.6946107784431138,0.47704590818363274,0.8904713769523936,,False,99.43248532289627,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ชะมวง,6,constituency,election_day,326,315,6,5,43,1,10,248,12,0,1,315,0,0.018404907975460124,0.015337423312883436,0.9662576687116564,248.0,0.7873015873015873,0.6507936507936508,0.7306467189807594,,False,98.77300613496932,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ชะมวง,7,constituency,election_day,394,387,4,3,50,5,5,315,12,0,0,387,0,0.01015228426395939,0.007614213197969543,0.9822335025380711,315.0,0.813953488372093,0.6847545219638242,0.652029885734488,,False,99.34010152284264,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ชะมวง,8,constituency,election_day,360,347,8,5,30,3,23,248,41,2,0,347,0,0.022222222222222223,0.013888888888888888,0.9638888888888889,248.0,0.7146974063400576,0.5965417867435159,0.9547391792922438,,False,98.61111111111111,False,False,NORMAL
ควนขนุน,ชะมวง,9,constituency,election_day,328,315,6,7,49,1,36,197,28,0,4,315,0,0.018292682926829267,0.021341463414634148,0.9603658536585366,197.0,0.6253968253968254,0.46984126984126984,1.119734814436396,,False,98.65853658536585,False,False,NORMAL
ควนขนุน,ชะมวง,10,constituency,election_day,196,191,1,4,44,0,18,116,10,1,2,191,0,0.00510204081632653,0.02040816326530612,0.9744897959183674,116.0,0.6073298429319371,0.3769633507853403,1.0933224176071896,,False,99.33673469387755,False,False,NORMAL
ควนขนุน,ชะมวง,11,constituency,election_day,486,476,9,1,161,1,24,266,21,1,2,476,0,0.018518518518518517,0.00205761316872428,0.9794238683127572,266.0,0.5588235294117647,0.22058823529411764,1.02905088284467,,False,99.03292181069959,False,False,NORMAL
ควนขนุน,ชะมวง,12,constituency,election_day,296,285,5,6,83,1,13,174,14,0,0,285,0,0.016891891891891893,0.02027027027027027,0.9628378378378378,174.0,0.6105263157894737,0.3192982456140351,0.9692241389631794,,False,98.75,False,False,NORMAL
ควนขนุน,ชะมวง,13,constituency,election_day,462,448,9,5,93,1,44,285,23,0,2,448,0,0.01948051948051948,0.010822510822510822,0.9696969696969697,285.0,0.6361607142857143,0.42857142857142855,1.0322526644245564,,False,98.80952380952381,False,False,NORMAL
ควนขนุน,ชะมวง,14,constituency,election_day,588,572,9,7,166,2,73,291,37,1,2,572,0,0.015306122448979591,0.011904761904761904,0.9727891156462585,291.0,0.5087412587412588,0.21853146853146854,1.193357288044135,,False,98.99659863945578,False,False,NORMAL
ควนขนุน,ชะมวง,15,constituency,election_day,366,349,10,7,84,0,33,218,12,2,0,349,0,0.0273224043715847,0.01912568306010929,0.953551912568306,218.0,0.6246418338108882,0.3839541547277937,1.0052196056470417,,False,98.25136612021858,False,False,NORMAL
กงหรา2,ชะรัด,1,constituency,election_day,593,565,14,14,209,1,42,278,31,2,2,565,0,0.023608768971332208,0.023608768971332208,0.9527824620573356,278.0,0.4920353982300885,0.12212389380530973,1.1204808739856915,,False,98.34738617200675,False,False,NORMAL
กงหรา2,ชะรัด,2,constituency,election_day,419,393,17,9,118,4,27,215,27,2,0,393,0,0.0405727923627685,0.021479713603818614,0.9379474940334129,215.0,0.5470737913486005,0.24681933842239187,1.132754588194378,,False,97.5417661097852,False,False,NORMAL
กงหรา2,ชะรัด,3,constituency,election_day,655,619,26,10,232,3,70,273,39,2,0,619,0,0.03969465648854962,0.015267175572519083,0.9450381679389313,273.0,0.4410339256865913,0.06623586429725363,1.1938814072860284,,False,97.70992366412213,False,False,NORMAL
กงหรา2,ชะรัด,4,constituency,election_day,331,313,4,14,190,2,18,79,21,1,2,313,0,0.012084592145015106,0.04229607250755287,0.945619335347432,190.0,0.6070287539936102,0.3546325878594249,1.078934163025937,,False,98.54984894259819,False,False,NORMAL
กงหรา2,ชะรัด,5,constituency,election_day,399,383,12,4,204,2,33,92,50,1,1,383,0,0.03007518796992481,0.010025062656641603,0.9598997493734336,204.0,0.5326370757180157,0.2924281984334204,1.2136401536880796,,False,98.29573934837093,False,False,NORMAL
กงหรา2,ชะรัด,6,constituency,election_day,429,411,14,4,201,6,18,137,49,0,0,411,0,0.03263403263403263,0.009324009324009324,0.958041958041958,201.0,0.48905109489051096,0.15571776155717762,1.1682814957048784,,False,98.18181818181819,False,False,NORMAL
กงหรา2,ชะรัด,7,constituency,election_day,277,264,7,6,73,1,30,142,16,1,1,264,0,0.02527075812274368,0.021660649819494584,0.9530685920577617,142.0,0.5378787878787878,0.26136363636363635,1.1694024274307377,,False,98.30324909747291,False,False,NORMAL
กงหรา2,ชะรัด,8,constituency,election_day,617,590,14,13,211,3,69,277,26,3,1,590,0,0.022690437601296597,0.02106969205834684,0.9562398703403565,277.0,0.4694915254237288,0.11186440677966102,1.1757997438232894,,False,98.44408427876824,False,False,NORMAL
กงหรา2,ชะรัด,9,constituency,election_day,383,341,15,27,139,1,41,123,35,1,1,341,0,0.0391644908616188,0.07049608355091384,0.8903394255874674,139.0,0.40762463343108507,0.0469208211143695,1.2732778165709664,,False,96.63185378590077,True,True,UNUSUAL_VOTING_PATTERN
กงหรา2,ชะรัด,10,constituency,election_day,517,490,18,9,208,2,36,213,26,4,1,490,0,0.03481624758220503,0.017408123791102514,0.9477756286266924,213.0,0.4346938775510204,0.01020408163265306,1.1478506656912852,,False,97.9110251450677,False,False,NORMAL
ศรีนครินทร์,ชุมพล,1,constituency,election_day,645,610,13,22,343,2,51,170,42,1,1,610,0,0.020155038759689922,0.034108527131782945,0.9457364341085271,343.0,0.5622950819672131,0.2836065573770492,1.111296984586334,,False,98.31007751937985,False,False,NORMAL
ศรีนครินทร์,ชุมพล,2,constituency,election_day,345,332,8,5,190,3,48,66,24,1,0,332,0,0.02318840579710145,0.014492753623188406,0.9623188405797102,190.0,0.572289156626506,0.37349397590361444,1.1700790532473009,,False,98.55072463768116,False,False,NORMAL
ศรีนครินทร์,ชุมพล,3,constituency,election_day,363,342,11,10,206,1,15,88,32,0,0,342,0,0.030303030303030304,0.027548209366391185,0.9421487603305785,206.0,0.6023391812865497,0.34502923976608185,1.0305053793115517,,False,97.93388429752066,False,False,NORMAL
ศรีนครินทร์,ชุมพล,4,constituency,election_day,418,371,17,30,113,8,18,185,32,8,7,371,0,0.04066985645933014,0.07177033492822966,0.8875598086124402,185.0,0.49865229110512127,0.1940700808625337,1.307621665313712,,False,96.5311004784689,True,True,UNUSUAL_VOTING_PATTERN
ศรีนครินทร์,ชุมพล,5,constituency,election_day,402,387,15,0,178,0,54,134,18,2,1,387,0,0.03731343283582089,0.0,0.9626865671641791,178.0,0.4599483204134367,0.11369509043927649,1.184558724907986,,False,98.13432835820896,False,False,NORMAL
ศรีนครินทร์,ชุมพล,6,constituency,election_day,493,461,11,21,212,0,61,146,35,1,6,461,0,0.02231237322515213,0.04259634888438134,0.9350912778904665,212.0,0.4598698481561822,0.14316702819956617,1.2545392540987015,,False,98.03245436105477,False,False,NORMAL
ศรีนครินทร์,ชุมพล,7,constituency,election_day,274,255,6,13,130,0,26,80,18,0,1,255,0,0.021897810218978103,0.04744525547445255,0.9306569343065694,130.0,0.5098039215686274,0.19607843137254902,1.14879761981009,,False,97.95620437956205,False,False,NORMAL
