district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,validation_error,has_validation_error,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ควนขนุน,ควนขนุน(เทศบาล),1,constituency,election_day,256,237,5,14,64,4,37,115,12,3,2,237,0,0.01953125,0.0546875,0.92578125,115.0,0.4852320675105485,0.2151898734177215,1.309891941414925,,False,97.9296875,False,True,UNUSUAL_VOTING_PATTERN,0,7.734476799999999,100.0124479,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,True,1,0,0
ควนขนุน,ชะมวง,5,constituency,election_day,511,501,3,7,109,7,25,348,11,1,0,501,0,0.0058708414872798,0.0136986301369863,0.980430528375734,348.0,0.6946107784431138,0.4770459081836327,0.8904713769523936,,False,99.43248532289628,False,True,UNUSUAL_VOTING_PATTERN,17,7.753196000000001,99.9551971,ศาลาประจำหมู่บ้านบ้านไสเตียน,True,1,1,-1
ควนขนุน,ชะมวง,6,constituency,election_day,326,315,6,5,43,1,10,248,12,0,1,315,0,0.0184049079754601,0.0153374233128834,0.9662576687116564,248.0,0.7873015873015873,0.6507936507936508,0.7306467189807594,,False,98.77300613496932,False,True,UNUSUAL_VOTING_PATTERN,18,7.7838149,99.9798974,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,True,1,1,-1
ควนขนุน,ชะมวง,7,constituency,election_day,394,387,4,3,50,5,5,315,12,0,0,387,0,0.0101522842639593,0.0076142131979695,0.9822335025380712,315.0,0.813953488372093,0.6847545219638242,0.652029885734488,,False,99.34010152284264,False,True,UNUSUAL_VOTING_PATTERN,19,7.7538149,99.9598974,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,True,1,1,0
กงหรา2,ชะรัด,9,constituency,election_day,383,341,15,27,139,1,41,123,35,1,1,341,0,0.0391644908616188,0.0704960835509138,0.8903394255874674,139.0,0.407624633431085,0.0469208211143695,1.2732778165709664,,False,96.63185378590076,True,True,UNUSUAL_VOTING_PATTERN,36,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านหูเล่,True,1,0,2
ศรีนครินทร์,ชุมพล,4,constituency,election_day,418,371,17,30,113,8,18,185,32,8,7,371,0,0.0406698564593301,0.0717703349282296,0.8875598086124402,185.0,0.4986522911051212,0.1940700808625337,1.307621665313712,,False,96.5311004784689,True,True,UNUSUAL_VOTING_PATTERN,41,7.5827562,99.9618832,ศาลาการเปรียญวัดลำกะ,True,1,0,-1
ควนขนุน,ดอนทราย,1,constituency,election_day,206,205,1,0,26,0,2,172,4,0,1,205,0,0.0048543689320388,0.0,0.9951456310679612,172.0,0.8390243902439024,0.7121951219512195,0.557102506913667,,False,99.75728155339806,True,True,UNUSUAL_VOTING_PATTERN,53,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านเขากอย,True,1,1,5
ควนขนุน,ดอนทราย,4,constituency,election_day,255,250,1,4,30,1,9,204,6,0,0,250,0,0.0039215686274509,0.0156862745098039,0.9803921568627452,204.0,0.816,0.696,0.6516290050403301,,False,99.49019607843135,False,True,UNUSUAL_VOTING_PATTERN,56,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านลำรุณ,True,1,1,5
ควนขนุน,ดอนทราย,6,constituency,election_day,284,272,5,7,29,0,12,215,13,1,2,272,0,0.0176056338028169,0.0246478873239436,0.9577464788732394,215.0,0.7904411764705882,0.6838235294117647,0.7643010702569123,,False,98.62676056338027,False,True,UNUSUAL_VOTING_PATTERN,58,7.722331100000001,99.9800438,ศาลาประจำหมู่บ้านบ้านเกาะทอง,True,1,1,-1
ควนขนุน,ดอนทราย,7,constituency,election_day,528,519,5,4,44,2,22,434,17,0,0,519,0,0.0094696969696969,0.0075757575757575,0.9829545454545454,434.0,0.8362235067437379,0.7514450867052023,0.6261629835976079,,False,99.375,True,True,UNUSUAL_VOTING_PATTERN,59,7.7186105,99.9665503,ศาลาประจำหมู่บ้านบ้านควนดินแดง,True,1,1,5
