district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ควนขนุน,ควนขนุน(เทศบาล),1,constituency,election_day,7.734476799999999,100.0124479,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,256,237,5,14,64,4,37,115,12,3,2
ควนขนุน,ควนขนุน(เทศบาล),2,constituency,election_day,7.733656099999999,100.007411,อาคารหอประชุม โรงเรียนบ้านควนขนุน,337,322,6,9,76,9,50,163,22,0,2
ควนขนุน,ควนขนุน(เทศบาล),3,constituency,election_day,7.737481399999999,100.0066003,ศาลาการเปรียญ วัดสุวรรณวิชัย,403,383,4,16,94,4,62,187,34,1,1
ควนขนุน,ควนขนุน(เทศบาล),4,constituency,election_day,7.7484794,100.0080005,อาคารพ่อท่านนะ วัดสุวรรณวิชัย,206,199,1,6,23,5,41,112,17,0,1
ควนขนุน,ควนขนุน,1,constituency,election_day,7.7485644,100.007979,ศาลาประจำหมู่บ้านบ้านควนบก,384,378,4,2,134,8,23,201,11,1,0
ควนขนุน,ควนขนุน,2,constituency,election_day,7.7484794,100.0080005,ศาลา อพป.บ้านดอนนูด,305,297,5,3,100,1,23,167,6,0,0
ควนขนุน,ควนขนุน,3,constituency,election_day,7.747440399999999,99.9966606,ศาลาประจำหมู่บ้านบ้านโคกวัด,639,605,15,19,150,2,76,336,35,2,4
ควนขนุน,ควนขนุน,4,constituency,election_day,7.7516832,100.0132899,ศาลาประจำหมู่บ้านบ้านโคกวา,707,675,17,15,226,5,78,310,56,0,0
ควนขนุน,ควนขนุน,5,constituency,election_day,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านเพิง,381,371,5,5,166,6,38,144,16,0,1
ควนขนุน,ควนขนุน,6,constituency,election_day,7.7625474,100.0007649,ศาลาประจำหมู่บ้านบ้านควนพลี,623,598,12,13,240,6,51,270,27,1,3
ควนขนุน,ควนขนุน,7,constituency,election_day,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านโพธิ์,374,360,9,5,35,2,37,252,33,0,1
ควนขนุน,ควนขนุน,8,constituency,election_day,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านข่อยม้า,208,203,5,0,63,1,5,128,6,0,0
ควนขนุน,ควนขนุน,9,constituency,election_day,7.735698699999999,100.0077949,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,80,77,0,3,8,0,9,47,11,2,0
ควนขนุน,ชะมวง,1,constituency,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านชะมวง,573,552,10,11,122,5,46,340,38,1,0
ควนขนุน,ชะมวง,2,constituency,election_day,7.7408104,99.9839132,ศาลาการเปรียญวัดพิกุลทอง,194,182,5,7,56,2,19,96,9,0,0
ควนขนุน,ชะมวง,3,constituency,election_day,7.7885424,99.9643809,ศาลาประจำหมู่บ้านบ้านศาลาตำเสา,545,525,14,6,115,0,62,320,25,1,2
