district,subdistrict,unit_index,latitude,longitude,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
กงหรา2,ชะรัด,55,74.7157804,999.8978155,4620,4369,141,110,1785,25,384,1829,320,17,9
กงหรา2,สมหวัง,36,60.0918583,800.0017889,3146,2972,109,65,1159,12,437,1161,187,5,11
ควนขนุน,ควนขนุน,45,69.7885105,900.041715,3701,3564,72,65,1122,31,340,1855,201,6,9
ควนขนุน,ควนขนุน(เทศบาล),10,30.954093699999998,400.0344597,1202,1141,16,45,257,22,190,577,85,4,6
ควนขนุน,ชะมวง,120,115.2420536,1500.3842686,5810,5626,101,83,1252,30,436,3584,299,10,15
ควนขนุน,ดอนทราย,66,84.9606249,1099.6867316,3912,3796,56,60,599,23,254,2754,150,2,14
ควนขนุน,ทะเลน้อย,55,76.3892539,1001.751884,4054,3891,94,69,1231,64,241,2186,154,6,9
ควนขนุน,นาขยาด,78,92.09360170000001,1199.5327223,5564,5289,113,162,1393,60,678,2737,379,22,20
ควนขนุน,ปันแต,91,101.1991392,1300.4613214,4069,3954,58,57,1518,55,275,1952,139,4,11
ควนขนุน,พนมวังก์,36,61.1439949,800.4818751,4228,4059,78,91,1344,19,436,1969,269,6,16
ควนขนุน,พนางตุง,91,100.948101,1301.3999869,6523,6271,163,89,1731,39,370,3821,275,14,21
ควนขนุน,มะกอกเหนือ,55,77.3955555,1000.6615984,3361,3241,46,74,1216,22,370,1369,223,4,37
ควนขนุน,มะกอกเหนือ(เทศบาล),10,30.9588902,400.2941307,1310,1266,17,27,262,6,132,779,82,1,4
ควนขนุน,แพรกหา,36,61.2612899,800.035024,4136,3977,72,87,1143,17,419,2127,252,10,9
ควนขนุน,แหลมโตนด,45,69.57060327312479,900.7460107760675,3174,3046,84,44,1216,83,297,1313,117,7,13
ควนขนุน,โตนดด้วน,66,84.8706904,1100.2568406,4250,4090,68,92,926,17,301,2589,219,11,27
ป่าพะยอม,บ้านพร้าว,66,85.9864048,1099.3696203,5341,5081,107,153,1224,49,612,2810,351,16,19
ป่าพะยอม,ป่าพะยอม,36,62.7078533,799.3508363,3655,3449,82,124,706,26,558,1915,225,9,10
ป่าพะยอม,ลานข่อย,78,86.5015836,1098.1679267,5157,4970,96,91,1980,17,560,2152,240,13,8
ป่าพะยอม,เกาะเต่า,153,125.5522054,1591.8592398,7791,7536,118,137,2176,85,719,4097,423,14,22
ศรีนครินทร์,ชุมพล,120,123.5602686,1502.3427087,5783,5480,135,168,2739,21,523,1793,362,17,25
ศรีนครินทร์,บ้านนา,78,90.8012005,1198.5873289,4972,4783,109,80,1647,13,671,2120,305,10,17
ศรีนครินทร์,ลำสินธ์ุ,45,67.6624515,899.2658008999999,4125,3971,101,53,1885,9,367,1472,215,9,14
ศรีนครินทร์,อ่างทอง,36,60.4590078,799.6809144,2937,2831,63,43,921,4,242,1523,133,3,5
ศรีบรรพต,ตะแพน,45,68.8397511,899.074621,3643,3547,51,45,1285,21,360,1652,214,7,8
ศรีบรรพต,เขาปู่,66,84.832534,1098.1086203,3827,3636,77,114,1014,34,366,1977,222,9,14
ศรีบรรพต,เขาย่า,55,77.3740355,999.0364288,4668,4476,94,98,1083,44,433,2661,234,5,16
