district,subdistrict,unit_index,form_type_const,vote_phase,ballot_total_const,ballot_valid_const,ballot_invalid_const,ballot_no_vote_const,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum_const,vote_mismatch_const,invalid_ratio_const,no_vote_ratio_const,turnout_const,winner_votes_const,winner_ratio_const,winner_margin_const,vote_entropy_const,validation_error,has_validation_error,integrity_score_const,anomaly_iforest_const,anomaly_dbscan_const,anomaly_type_const,form_type_party,ballot_total_party,ballot_valid_party,ballot_invalid_party,ballot_no_vote_party,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum_party,vote_mismatch_party,invalid_ratio_party,no_vote_ratio_party,turnout_party,winner_votes_party,winner_ratio_party,winner_margin_party,vote_entropy_party,integrity_score_party,anomaly_iforest_party,anomaly_dbscan_party,anomaly_type_party,cross_mismatch,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ควนขนุน,ควนขนุน(เทศบาล),1,constituency,election_day,256,237,5,14,64,4,37,115,12,3,2,237,0,0.01953125,0.0546875,0.92578125,115.0,0.4852320675105485,0.2151898734177215,1.309891941414925,,False,97.9296875,False,True,UNUSUAL_VOTING_PATTERN,partylist,256,238,11,7,0,0,0,0,4,0,0,0,0,34,0,108,1,0,0,0,0,0,0,1,0,0,0,0,56,0,1,0,9,0,0,0,0,0,0,0,2,1,1,12,1,1,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,238,0,0.04296875,0.02734375,0.9296875,108.0,0.453781512605042,0.2184873949579832,1.6453490992487043,97.3046875,False,True,UNUSUAL_VOTING_PATTERN,0,0,7.734476799999999,100.0124479,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,True,1,1,0
ควนขนุน,ควนขนุน(เทศบาล),2,constituency,election_day,337,322,6,9,76,9,50,163,22,0,2,322,0,0.0178041543026706,0.0267062314540059,0.9554896142433236,163.0,0.5062111801242236,0.2701863354037267,1.2895129853093166,,False,98.57566765578636,False,False,NORMAL,partylist,337,320,8,9,0,1,0,0,0,0,1,0,0,45,0,137,2,0,0,0,1,0,0,0,0,0,0,0,87,0,0,0,8,1,0,1,0,0,0,0,2,0,0,15,7,0,0,0,1,0,0,2,0,1,0,0,0,8,0,0,0,320,0,0.0237388724035608,0.0267062314540059,0.9495548961424332,137.0,0.428125,0.15625,1.6259982551336982,98.27893175074183,False,True,UNUSUAL_VOTING_PATTERN,0,1,7.733656099999999,100.007411,อาคารหอประชุม โรงเรียนบ้านควนขนุน,True,1,1,0
ควนขนุน,ควนขนุน,9,constituency,election_day,80,77,0,3,8,0,9,47,11,2,0,77,0,0.0,0.0375,0.9625,47.0,0.6103896103896104,0.4675324675324675,1.160290705337588,,False,99.25,False,False,NORMAL,partylist,80,78,1,1,0,0,0,0,0,0,0,0,0,15,0,23,2,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,0,0.0125,0.0125,0.975,24.0,0.3076923076923077,0.0128205128205128,1.6890327383134127,99.125,True,True,UNUSUAL_VOTING_PATTERN,0,12,7.735698699999999,100.0077949,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,True,1,0,0
ควนขนุน,ชะมวง,2,constituency,election_day,194,182,5,7,56,2,19,96,9,0,0,182,0,0.0257731958762886,0.0360824742268041,0.9381443298969072,96.0,0.5274725274725275,0.2197802197802197,1.134211207827406,,False,97.98969072164948,False,False,NORMAL,partylist,194,177,11,6,0,0,0,0,0,0,1,0,0,14,0,83,3,0,0,0,0,2,0,0,0,0,0,0,46,0,0,0,6,0,0,0,0,0,0,0,3,0,0,12,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,177,0,0.056701030927835,0.0309278350515463,0.9123711340206184,83.0,0.4689265536723164,0.2090395480225988,1.602509251841952,96.54639175257732,False,True,UNUSUAL_VOTING_PATTERN,0,14,7.7408104,99.9839132,ศาลาการเปรียญวัดพิกุลทอง,True,1,1,0
ควนขนุน,ชะมวง,5,constituency,election_day,511,501,3,7,109,7,25,348,11,1,0,501,0,0.0058708414872798,0.0136986301369863,0.980430528375734,348.0,0.6946107784431138,0.4770459081836327,0.8904713769523936,,False,99.43248532289628,False,True,UNUSUAL_VOTING_PATTERN,partylist,511,490,16,5,0,2,0,0,1,0,0,0,0,45,0,278,4,0,1,1,0,4,0,0,0,0,0,0,91,0,0,4,2,1,0,0,1,0,0,0,3,0,2,38,2,1,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,490,0,0.0313111545988258,0.009784735812133,0.958904109589041,278.0,0.5673469387755102,0.3816326530612245,1.452379088052412,98.23874755381604,False,False,NORMAL,0,17,7.753196000000001,99.9551971,ศาลาประจำหมู่บ้านบ้านไสเตียน,True,1,0,-1
ควนขนุน,ชะมวง,6,constituency,election_day,326,315,6,5,43,1,10,248,12,0,1,315,0,0.0184049079754601,0.0153374233128834,0.9662576687116564,248.0,0.7873015873015873,0.6507936507936508,0.7306467189807594,,False,98.77300613496932,False,True,UNUSUAL_VOTING_PATTERN,partylist,326,317,4,5,0,0,0,0,1,0,1,0,0,33,2,162,1,0,0,0,0,6,1,0,0,1,0,0,77,1,0,0,0,0,0,0,0,0,0,0,1,0,3,7,5,1,0,1,0,0,0,0,1,6,0,2,0,3,0,1,0,317,0,0.0122699386503067,0.0153374233128834,0.97239263803681,162.0,0.5110410094637224,0.2681388012618296,1.5740995341002566,99.079754601227,False,False,NORMAL,0,18,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,True,1,0,2
ควนขนุน,ชะมวง,7,constituency,election_day,394,387,4,3,50,5,5,315,12,0,0,387,0,0.0101522842639593,0.0076142131979695,0.9822335025380712,315.0,0.813953488372093,0.6847545219638242,0.652029885734488,,False,99.34010152284264,False,True,UNUSUAL_VOTING_PATTERN,partylist,394,376,13,5,0,0,0,0,1,0,1,0,0,36,0,201,3,0,0,0,0,1,1,0,0,0,0,0,100,0,2,2,3,0,0,0,1,0,0,0,5,0,0,10,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,376,0,0.032994923857868,0.0126903553299492,0.9543147208121828,201.0,0.5345744680851063,0.2686170212765957,1.3896539180217513,98.0964467005076,False,False,NORMAL,0,19,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,True,1,0,2
ควนขนุน,ชะมวง,8,constituency,election_day,360,347,8,5,30,3,23,248,41,2,0,347,0,0.0222222222222222,0.0138888888888888,0.9638888888888888,248.0,0.7146974063400576,0.5965417867435159,0.9547391792922438,,False,98.61111111111111,False,False,NORMAL,partylist,360,342,16,2,0,1,0,0,0,0,1,0,0,83,3,135,0,0,0,1,1,3,2,2,0,0,0,1,70,1,0,1,7,0,0,0,0,0,0,0,2,0,0,12,2,1,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0,342,0,0.0444444444444444,0.0055555555555555,0.95,135.0,0.3947368421052631,0.1520467836257309,1.7226476382668376,97.66666666666666,False,True,UNUSUAL_VOTING_PATTERN,0,20,7.7372374,99.973056,ศาลาประจำหมู่บ้านบ้านไทรโกบ,True,1,1,0
ควนขนุน,ชะมวง,10,constituency,election_day,196,191,1,4,44,0,18,116,10,1,2,191,0,0.0051020408163265,0.0204081632653061,0.9744897959183674,116.0,0.6073298429319371,0.3769633507853403,1.0933224176071896,,False,99.33673469387756,False,False,NORMAL,partylist,196,188,6,2,0,2,0,0,0,0,1,0,0,43,0,51,3,0,1,0,0,1,0,1,0,0,0,0,52,0,0,0,3,0,1,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,188,0,0.0306122448979591,0.010204081632653,0.9591836734693876,52.0,0.2765957446808511,0.0053191489361702,1.7461799983361643,98.265306122449,True,True,UNUSUAL_VOTING_PATTERN,0,22,7.737530199999998,99.9891287,ศาลาประจำหมู่บ้านบ้านปาบ,True,1,1,0
กงหรา2,ชะรัด,9,constituency,election_day,383,341,15,27,139,1,41,123,35,1,1,341,0,0.0391644908616188,0.0704960835509138,0.8903394255874674,139.0,0.407624633431085,0.0469208211143695,1.2732778165709664,,False,96.63185378590076,True,True,UNUSUAL_VOTING_PATTERN,partylist,383,360,13,10,0,0,0,0,1,0,0,0,0,49,2,222,5,0,0,0,0,7,0,1,0,0,0,0,43,0,0,1,4,0,1,0,0,0,0,0,2,0,1,11,3,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1,0,360,0,0.0339425587467362,0.0261096605744125,0.9399477806788512,222.0,0.6166666666666667,0.4805555555555555,1.4006039568308284,97.78067885117494,False,False,NORMAL,0,36,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านหูเล่,True,1,1,3
