district,subdistrict,unit_index,form_type_const,vote_phase,latitude_const,longitude_const,latlong_location_const,ballot_total_const,ballot_valid_const,ballot_invalid_const,ballot_no_vote_const,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum_const,vote_mismatch_const,vote_mismatch_ratio_const,invalid_ratio_const,no_vote_ratio_const,turnout_const,winner_votes_const,runner_up_votes_const,winner_ratio_const,winner_margin_const,vote_entropy_const,validation_error_const,has_validation_error_const,integrity_score_const,anomaly_iforest_const,anomaly_dbscan_const,analysis_scope_const,anomaly_type_const,form_type_party,latitude_party,longitude_party,latlong_location_party,ballot_total_party,ballot_valid_party,ballot_invalid_party,ballot_no_vote_party,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum_party,vote_mismatch_party,vote_mismatch_ratio_party,invalid_ratio_party,no_vote_ratio_party,turnout_party,winner_votes_party,runner_up_votes_party,winner_ratio_party,winner_margin_party,vote_entropy_party,validation_error_party,has_validation_error_party,integrity_score_party,anomaly_iforest_party,anomaly_dbscan_party,analysis_scope_party,anomaly_type_party,_merge,cross_mismatch,ballot_valid_cross_mismatch,ballot_invalid_cross_mismatch,ballot_no_vote_cross_mismatch,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
กงหรา2,ชะรัด,1,constituency,election_day,7.4710752,99.9927726,ศาลาประจำหมู่บ้านบ้านต้นประดู่,593,565,14,14,209,1,42,278,31,2,2,565,0,0.0,0.0236087689713322,0.0236087689713322,0.9527824620573356,278.0,209.0,0.4920353982300885,0.1221238938053097,1.1204808739856915,,False,98.34738617200676,False,False,election_day_model,NORMAL,partylist,7.4710752,99.9927726,ศาลาประจำหมู่บ้านบ้านต้นประดู่,593,562,17,14,0,0,0,0,0,0,2,0,3,48,2,357,4,1,1,0,0,4,0,1,0,0,0,0,78,5,0,1,3,1,0,0,1,0,0,0,4,0,5,14,6,0,0,1,0,0,0,0,6,11,0,2,0,0,0,0,1,562,0,0.0,0.0286677908937605,0.0236087689713322,0.9477234401349072,357.0,78.0,0.6352313167259787,0.49644128113879,1.4341747260147255,,False,98.09443507588531,False,False,election_day_model,NORMAL,both,0,3,3,0,0,7.734476799999999,100.0124479,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,False,0,0,0
กงหรา2,ชะรัด,2,constituency,election_day,7.477495999999999,100.0135447,ศาลาประจำหมู่บ้านบ้านวังปริง,419,393,17,9,118,4,27,215,27,2,0,393,0,0.0,0.0405727923627685,0.0214797136038186,0.9379474940334128,215.0,118.0,0.5470737913486005,0.2468193384223918,1.132754588194378,,False,97.5417661097852,False,False,election_day_model,NORMAL,partylist,7.477495999999999,100.0135447,ศาลาประจำหมู่บ้านบ้านวังปริง,419,398,20,1,0,1,0,0,0,0,1,0,1,66,2,210,5,0,0,0,0,7,1,0,0,0,0,0,75,1,1,0,1,0,3,0,1,0,0,0,0,0,3,8,1,1,0,0,0,1,0,0,3,4,0,0,0,0,1,0,0,398,0,0.0,0.0477326968973747,0.0023866348448687,0.9498806682577564,210.0,75.0,0.5276381909547738,0.3391959798994975,1.5182497985451298,,False,97.56563245823388,False,False,election_day_model,NORMAL,both,0,5,3,8,1,7.733656099999999,100.007411,อาคารหอประชุม โรงเรียนบ้านควนขนุน,False,0,0,0
กงหรา2,ชะรัด,3,constituency,election_day,7.471108099999999,100.0050042,ศาลาประจำหมู่บ้านบ้านหัวหรั่ง,655,619,26,10,232,3,70,273,39,2,0,619,0,0.0,0.0396946564885496,0.015267175572519,0.9450381679389313,273.0,232.0,0.4410339256865913,0.0662358642972536,1.1938814072860284,,False,97.70992366412212,False,False,election_day_model,NORMAL,partylist,7.471108099999999,100.0050042,ศาลาประจำหมู่บ้านบ้านหัวหรั่ง,655,631,16,8,0,0,0,0,3,1,2,0,2,90,5,390,7,0,3,0,0,5,1,0,0,1,0,0,55,0,0,1,5,0,2,0,1,0,0,1,4,0,3,27,2,2,0,2,0,0,0,0,0,12,0,2,0,2,0,0,0,631,0,0.0,0.0244274809160305,0.0122137404580152,0.9633587786259542,390.0,90.0,0.618066561014263,0.4754358161648177,1.4785643702802416,,False,98.53435114503816,False,False,election_day_model,NORMAL,both,0,12,10,2,2,7.737481399999999,100.0066003,ศาลาการเปรียญ วัดสุวรรณวิชัย,False,0,0,0
กงหรา2,ชะรัด,4,constituency,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านท่ายาง,331,313,4,14,190,2,18,79,21,1,2,313,0,0.0,0.0120845921450151,0.0422960725075528,0.945619335347432,190.0,79.0,0.6070287539936102,0.3546325878594249,1.078934163025937,,False,98.5498489425982,False,False,election_day_model,NORMAL,partylist,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านท่ายาง,331,308,16,7,0,2,0,0,0,0,1,0,0,44,6,171,4,0,0,1,0,2,1,0,0,0,0,0,37,0,0,1,4,0,0,0,0,0,0,0,0,0,1,23,3,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,308,0,0.0,0.0483383685800604,0.0211480362537764,0.9305135951661632,171.0,44.0,0.5551948051948052,0.4123376623376623,1.5566358067742865,,False,97.16012084592144,False,False,election_day_model,NORMAL,both,0,5,12,7,3,7.7484794,100.0080005,อาคารพ่อท่านนะ วัดสุวรรณวิชัย,False,0,1,0
กงหรา2,ชะรัด,5,constituency,election_day,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,399,383,12,4,204,2,33,92,50,1,1,383,0,0.0,0.0300751879699248,0.0100250626566416,0.9598997493734336,204.0,92.0,0.5326370757180157,0.2924281984334204,1.2136401536880796,,False,98.29573934837092,False,False,election_day_model,NORMAL,partylist,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,399,383,14,2,0,0,0,0,0,0,0,0,0,69,7,170,0,0,3,0,1,7,0,0,0,0,1,0,55,2,2,2,3,0,0,0,0,0,0,0,5,2,1,41,7,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,383,0,0.0,0.0350877192982456,0.0050125313283208,0.9598997493734336,170.0,69.0,0.443864229765013,0.2637075718015665,1.769619032866395,,False,98.1453634085213,False,False,election_day_model,NORMAL,both,0,0,2,2,4,7.7485644,100.007979,ศาลาประจำหมู่บ้านบ้านควนบก,False,0,1,0
กงหรา2,ชะรัด,6,constituency,election_day,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,429,411,14,4,201,6,18,137,49,0,0,411,0,0.0,0.0326340326340326,0.0093240093240093,0.958041958041958,201.0,137.0,0.4890510948905109,0.1557177615571776,1.1682814957048784,,False,98.1818181818182,False,False,election_day_model,NORMAL,partylist,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,429,412,15,2,0,8,0,0,0,0,4,0,0,74,1,172,3,0,1,0,0,13,1,0,0,0,0,0,75,0,1,2,2,0,0,0,0,0,0,0,4,0,0,37,4,0,0,0,0,1,0,0,1,4,0,1,0,2,0,0,1,412,0,0.0,0.0349650349650349,0.0046620046620046,0.9603729603729604,172.0,75.0,0.4174757281553398,0.2354368932038835,1.7955361117286457,,False,98.15850815850816,False,False,election_day_model,NORMAL,both,0,1,1,2,5,7.7484794,100.0080005,ศาลา อพป.บ้านดอนนูด,False,0,1,0
กงหรา2,ชะรัด,7,constituency,election_day,7.470731900000001,99.9856344,ศาลาอเนกประสงค์บ้านนามะพร้าว,277,264,7,6,73,1,30,142,16,1,1,264,0,0.0,0.0252707581227436,0.0216606498194945,0.9530685920577616,142.0,73.0,0.5378787878787878,0.2613636363636363,1.1694024274307375,,False,98.30324909747291,False,False,election_day_model,NORMAL,partylist,7.470731900000001,99.9856344,ศาลาอเนกประสงค์บ้านนามะพร้าว,277,271,3,3,0,1,0,0,1,0,0,0,0,26,0,153,3,0,0,0,0,0,0,0,0,1,0,0,65,0,0,1,3,0,1,0,1,0,0,0,1,0,0,9,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,271,0,0.0,0.0108303249097472,0.0108303249097472,0.9783393501805054,153.0,65.0,0.5645756457564576,0.3247232472324723,1.3387785393341047,,False,99.2418772563177,False,False,election_day_model,NORMAL,both,0,7,4,3,6,7.747440399999999,99.9966606,ศาลาประจำหมู่บ้านบ้านโคกวัด,False,0,0,0
กงหรา2,ชะรัด,8,constituency,election_day,7.470731900000001,99.9856344,ศูนย์ถ่ายทอดเทคโนโลยีตำบลชะรัด,617,590,14,13,211,3,69,277,26,3,1,590,0,0.0,0.0226904376012965,0.0210696920583468,0.9562398703403564,277.0,211.0,0.4694915254237288,0.111864406779661,1.1757997438232894,,False,98.44408427876824,False,False,election_day_model,NORMAL,partylist,7.470731900000001,99.9856344,ศูนย์ถ่ายทอดเทคโนโลยีตำบลชะรัด,617,592,15,10,0,1,0,0,3,0,2,0,0,69,1,359,6,0,1,0,0,5,1,0,0,1,0,0,99,0,2,1,5,2,1,0,0,0,0,0,2,2,1,8,4,0,0,0,0,1,2,1,2,7,0,1,0,1,1,0,0,592,0,0.0,0.0243111831442463,0.0162074554294975,0.959481361426256,359.0,99.0,0.606418918918919,0.4391891891891892,1.426023753798388,,False,98.46029173419774,False,False,election_day_model,NORMAL,both,0,2,1,3,7,7.7516832,100.0132899,ศาลาประจำหมู่บ้านบ้านโคกวา,False,0,0,0
กงหรา2,ชะรัด,9,constituency,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านหูเล่,383,341,15,27,139,1,41,123,35,1,1,341,0,0.0,0.0391644908616188,0.0704960835509138,0.8903394255874674,139.0,123.0,0.407624633431085,0.0469208211143695,1.2732778165709664,,False,96.63185378590076,True,True,election_day_model,UNUSUAL_VOTING_PATTERN,partylist,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านหูเล่,383,360,13,10,0,0,0,0,1,0,0,0,0,49,2,222,5,0,0,0,0,7,0,1,0,0,0,0,43,0,0,1,4,0,1,0,0,0,0,0,2,0,1,11,3,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1,0,360,0,0.0,0.0339425587467362,0.0261096605744125,0.9399477806788512,222.0,49.0,0.6166666666666667,0.4805555555555555,1.4006039568308284,,False,97.78067885117494,False,False,election_day_model,NORMAL,both,0,19,2,17,8,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านเพิง,True,1,0,1
กงหรา2,ชะรัด,10,constituency,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านสะพานแต้ว,517,490,18,9,208,2,36,213,26,4,1,490,0,0.0,0.034816247582205,0.0174081237911025,0.9477756286266924,213.0,208.0,0.4346938775510204,0.010204081632653,1.1478506656912852,,False,97.9110251450677,False,False,election_day_model,NORMAL,partylist,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านสะพานแต้ว,517,490,22,5,0,0,0,0,1,1,3,1,3,42,3,313,1,1,0,1,0,5,0,0,1,0,0,0,69,1,1,0,5,0,2,0,0,0,0,0,4,0,2,11,5,1,0,0,1,1,0,1,0,7,0,1,0,1,1,0,0,490,0,0.0,0.0425531914893617,0.0096711798839458,0.9477756286266924,313.0,69.0,0.6387755102040816,0.4979591836734693,1.4392173586157058,,False,97.678916827853,False,False,election_day_model,NORMAL,both,0,0,4,4,9,7.7625474,100.0007649,ศาลาประจำหมู่บ้านบ้านควนพลี,False,0,0,1
