district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type
ควนขนุน,ควนขนุน(เทศบาล),0,partylist,election_day,256,238,11,7,0,0,0,0,4,0,0,0,0,34,0,108,1,0,0,0,0,0,0,1,0,0,0,0,56,0,1,0,9,0,0,0,0,0,0,0,2,1,1,12,1,1,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,238,0,0.04296875,0.02734375,0.9296875,108,0.453781512605042,0.23529411764705882,1.6453490812459939,80.01151706569132,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ควนขนุน(เทศบาล),1,partylist,election_day,337,320,8,9,0,1,0,0,0,0,1,0,0,45,0,137,2,0,0,0,1,0,0,0,0,0,0,0,87,0,0,0,8,1,0,1,0,0,0,0,2,0,0,15,7,0,0,0,1,0,0,2,0,1,0,0,0,8,0,0,0,320,0,0.02373887240356083,0.026706231454005934,0.9495548961424333,137,0.428125,0.271875,1.6259982381317433,80.39682399850453,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ควนขนุน(เทศบาล),2,partylist,election_day,403,390,8,5,0,0,0,0,1,0,0,0,0,51,0,146,4,0,0,0,0,1,0,0,0,0,0,0,117,0,0,0,11,0,0,1,0,0,0,0,2,0,2,31,5,3,0,0,0,2,0,1,0,3,0,0,0,8,0,1,0,390,0,0.019851116625310174,0.01240694789081886,0.967741935483871,146,0.37435897435897436,0.3,1.7120109982886016,78.1181034166177,False,False,NORMAL
ควนขนุน,ควนขนุน(เทศบาล),3,partylist,election_day,206,199,3,4,0,2,0,0,0,0,1,0,0,34,0,79,2,0,0,0,0,0,1,0,0,0,0,0,51,0,0,0,6,0,0,0,1,0,0,0,1,0,0,13,2,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,199,0,0.014563106796116505,0.019417475728155338,0.9660194174757282,79,0.3969849246231156,0.2562814070351759,1.6782057924296665,79.39933447459099,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ควนขนุน,0,partylist,election_day,384,365,11,8,0,0,0,0,2,0,1,0,0,46,0,215,3,0,0,1,0,1,1,0,0,1,0,0,41,0,1,2,6,0,0,0,0,0,0,0,3,2,0,29,2,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,365,0,0.028645833333333332,0.020833333333333332,0.9505208333333334,215,0.589041095890411,0.12602739726027398,1.4844252458840232,86.08319366888588,False,False,NORMAL
ควนขนุน,ควนขนุน,1,partylist,election_day,305,301,4,0,0,1,0,0,1,6,0,0,0,15,0,202,8,0,0,0,0,2,0,0,0,1,0,0,30,0,0,2,5,0,0,0,1,0,0,0,2,0,0,10,4,1,0,0,0,0,1,0,1,7,0,0,0,0,0,0,1,301,0,0.013114754098360656,0.0,0.9868852459016394,202,0.6710963455149501,0.09966777408637874,1.399099246230656,88.46814512283703,False,False,NORMAL
ควนขนุน,ควนขนุน,2,partylist,election_day,639,612,17,10,0,0,0,2,0,0,0,0,0,70,1,371,7,0,0,0,0,4,1,2,0,1,0,0,99,2,0,0,5,0,1,0,1,0,0,0,3,0,2,23,3,2,0,0,0,1,0,3,0,3,0,0,0,4,0,1,0,612,0,0.026604068857589983,0.01564945226917058,0.9577464788732394,371,0.6062091503267973,0.16176470588235295,1.3967770312818741,85.82384137974317,False,False,NORMAL
ควนขนุน,ควนขนุน,3,partylist,election_day,707,671,32,4,0,1,0,0,1,4,5,0,1,89,0,371,12,0,2,0,0,4,0,0,0,0,1,1,99,0,1,3,2,0,0,1,1,1,0,0,7,1,1,27,11,2,0,1,0,1,2,0,1,12,0,1,0,4,0,0,0,671,0,0.04526166902404526,0.005657708628005658,0.9490806223479491,371,0.5529061102831595,0.14754098360655737,1.633264220434031,82.9914576529522,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ควนขนุน,4,partylist,election_day,381,368,8,5,0,1,0,0,1,0,1,0,1,33,0,214,2,0,1,0,0,10,0,0,0,0,0,0,61,0,0,0,11,0,0,0,0,0,0,0,0,1,0,19,3,0,0,0,0,3,1,1,2,1,0,0,0,1,0,0,0,368,0,0.02099737532808399,0.013123359580052493,0.9658792650918635,214,0.5815217391304348,0.16576086956521738,1.4809681778231278,86.20546518574012,False,False,NORMAL
ควนขนุน,ควนขนุน,5,partylist,election_day,623,599,22,2,2,0,0,0,1,0,1,0,0,87,3,347,2,0,0,0,0,5,0,1,0,1,2,1,74,0,3,1,3,1,1,0,0,0,0,0,4,0,1,40,4,4,0,0,0,1,0,0,1,5,0,0,0,1,0,1,1,599,0,0.03531300160513644,0.0032102728731942215,0.9614767255216693,347,0.5792988313856428,0.14524207011686144,1.5019694069020504,85.59362079229196,False,False,NORMAL
ควนขนุน,ควนขนุน,6,partylist,election_day,374,361,8,5,0,0,0,0,1,1,2,0,0,62,2,157,5,0,1,1,0,2,1,0,0,0,0,0,89,0,1,0,4,0,0,0,0,0,0,0,3,0,0,17,4,1,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0,361,0,0.0213903743315508,0.013368983957219251,0.9652406417112299,157,0.43490304709141275,0.24653739612188366,1.6544164884218904,80.43340781194595,False,False,NORMAL
ควนขนุน,ควนขนุน,7,partylist,election_day,208,204,4,0,0,0,0,0,0,0,2,0,0,20,0,101,0,0,0,0,1,1,0,0,0,0,0,0,48,0,0,2,6,0,0,0,0,0,0,0,3,0,1,11,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,204,0,0.019230769230769232,0.0,0.9807692307692307,101,0.4950980392156863,0.23529411764705882,1.573530220476189,83.15610051017023,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ควนขนุน,8,partylist,election_day,80,78,1,1,0,0,0,0,0,0,0,0,0,15,0,23,2,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,0,0.0125,0.0125,0.975,24,0.3076923076923077,0.2948717948717949,1.689032729304579,76.71544193772344,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ชะมวง,0,partylist,election_day,573,564,7,2,0,0,0,0,0,0,0,0,0,80,0,316,2,0,3,0,0,6,0,1,1,0,1,0,101,1,0,2,10,0,0,0,0,0,0,0,0,0,3,22,0,1,0,1,0,2,0,1,0,6,0,0,0,4,0,0,0,564,0,0.012216404886561954,0.0034904013961605585,0.9842931937172775,316,0.5602836879432624,0.17907801418439717,1.4337608356413534,85.53529875038332,False,False,NORMAL
ควนขนุน,ชะมวง,1,partylist,election_day,194,177,11,6,0,0,0,0,0,0,1,0,0,14,0,83,3,0,0,0,0,2,0,0,0,0,0,0,46,0,0,0,6,0,0,0,0,0,0,0,3,0,0,12,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,177,0,0.05670103092783505,0.030927835051546393,0.9123711340206185,83,0.4689265536723164,0.2598870056497175,1.602509238838549,80.20765267539225,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ชะมวง,2,partylist,election_day,545,523,13,9,0,1,0,0,0,0,1,0,1,51,1,305,0,0,0,0,0,7,0,0,0,1,0,0,96,0,1,1,2,1,0,1,0,0,0,0,2,1,0,26,5,5,0,0,0,1,0,0,0,9,0,0,0,4,0,0,0,523,0,0.023853211009174313,0.01651376146788991,0.9596330275229358,305,0.5831739961759083,0.1835564053537285,1.429916675268415,85.60172608750268,False,False,NORMAL
ควนขนุน,ชะมวง,3,partylist,election_day,185,180,2,3,1,0,0,0,0,0,2,0,0,27,2,80,3,0,0,1,0,2,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,180,0,0.010810810810810811,0.016216216216216217,0.972972972972973,80,0.4444444444444444,0.29444444444444445,1.5020602295026813,82.77219049776596,False,True,UNUSUAL_VOTING_PATTERN
