district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ควนขนุน,ควนขนุน(เทศบาล),1,partylist,election_day,256,238,11,7,0,0,0,0,4,0,0,0,0,34,0,108,1,0,0,0,0,0,0,1,0,0,0,0,56,0,1,0,9,0,0,0,0,0,0,0,2,1,1,12,1,1,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,238,0,0.04296875,0.02734375,0.9296875,108.0,0.453781512605042,0.2184873949579832,1.6453490992487043,97.3046875,False,True,UNUSUAL_VOTING_PATTERN,0,7.734476799999999,100.0124479,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,True,1,1,0
ควนขนุน,ควนขนุน(เทศบาล),2,partylist,election_day,337,320,8,9,0,1,0,0,0,0,1,0,0,45,0,137,2,0,0,0,1,0,0,0,0,0,0,0,87,0,0,0,8,1,0,1,0,0,0,0,2,0,0,15,7,0,0,0,1,0,0,2,0,1,0,0,0,8,0,0,0,320,0,0.0237388724035608,0.0267062314540059,0.9495548961424332,137.0,0.428125,0.15625,1.6259982551336982,98.27893175074183,False,True,UNUSUAL_VOTING_PATTERN,1,7.733656099999999,100.007411,อาคารหอประชุม โรงเรียนบ้านควนขนุน,True,1,1,0
ควนขนุน,ควนขนุน,9,partylist,election_day,80,78,1,1,0,0,0,0,0,0,0,0,0,15,0,23,2,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,0,0.0125,0.0125,0.975,24.0,0.3076923076923077,0.0128205128205128,1.6890327383134127,99.125,True,True,UNUSUAL_VOTING_PATTERN,12,7.735698699999999,100.0077949,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,True,1,1,0
ควนขนุน,ชะมวง,2,partylist,election_day,194,177,11,6,0,0,0,0,0,0,1,0,0,14,0,83,3,0,0,0,0,2,0,0,0,0,0,0,46,0,0,0,6,0,0,0,0,0,0,0,3,0,0,12,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,177,0,0.056701030927835,0.0309278350515463,0.9123711340206184,83.0,0.4689265536723164,0.2090395480225988,1.602509251841952,96.54639175257732,False,True,UNUSUAL_VOTING_PATTERN,14,7.7408104,99.9839132,ศาลาการเปรียญวัดพิกุลทอง,True,1,1,0
ควนขนุน,ชะมวง,8,partylist,election_day,360,342,16,2,0,1,0,0,0,0,1,0,0,83,3,135,0,0,0,1,1,3,2,2,0,0,0,1,70,1,0,1,7,0,0,0,0,0,0,0,2,0,0,12,2,1,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0,342,0,0.0444444444444444,0.0055555555555555,0.95,135.0,0.3947368421052631,0.1520467836257309,1.7226476382668376,97.66666666666666,False,True,UNUSUAL_VOTING_PATTERN,20,7.7372374,99.973056,ศาลาประจำหมู่บ้านบ้านไทรโกบ,True,1,1,0
ควนขนุน,ชะมวง,10,partylist,election_day,196,188,6,2,0,2,0,0,0,0,1,0,0,43,0,51,3,0,1,0,0,1,0,1,0,0,0,0,52,0,0,0,3,0,1,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,188,0,0.0306122448979591,0.010204081632653,0.9591836734693876,52.0,0.2765957446808511,0.0053191489361702,1.7461799983361643,98.265306122449,True,True,UNUSUAL_VOTING_PATTERN,22,7.737530199999998,99.9891287,ศาลาประจำหมู่บ้านบ้านปาบ,True,1,1,0
ศรีนครินทร์,ชุมพล,1,partylist,election_day,645,596,25,24,0,0,0,0,0,0,3,0,1,89,1,341,3,0,0,1,0,7,0,0,0,2,1,1,63,0,3,3,7,0,2,0,2,0,0,0,2,1,2,35,8,2,0,1,1,2,0,0,5,2,0,3,1,0,0,1,0,596,0,0.0387596899224806,0.0372093023255813,0.924031007751938,341.0,0.5721476510067114,0.4228187919463087,1.6031429577096452,97.31782945736434,False,True,UNUSUAL_VOTING_PATTERN,38,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านชุมพล,True,1,1,4
ศรีนครินทร์,ชุมพล,3,partylist,election_day,363,339,16,8,0,2,0,1,0,0,0,0,0,71,0,153,5,0,2,0,0,4,1,1,0,1,0,0,30,0,2,2,7,0,0,0,0,1,0,2,1,0,1,37,7,1,0,1,0,1,0,0,2,1,0,0,0,2,0,0,0,339,0,0.0440771349862259,0.0220385674931129,0.9338842975206612,153.0,0.4513274336283185,0.2418879056047197,1.8186658092036336,97.35537190082644,False,True,UNUSUAL_VOTING_PATTERN,40,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองเสม็ด,True,1,1,5
ศรีนครินทร์,ชุมพล,4,partylist,election_day,418,375,19,24,1,6,2,0,0,0,13,1,1,66,1,85,5,0,0,1,0,11,0,0,0,3,0,0,45,3,3,8,8,0,0,1,0,2,0,0,24,0,0,38,18,1,0,0,0,0,1,0,1,23,0,0,0,2,0,1,0,375,0,0.0454545454545454,0.0574162679425837,0.8971291866028708,85.0,0.2266666666666666,0.0506666666666666,2.487130290516781,96.57894736842104,True,True,UNUSUAL_VOTING_PATTERN,41,7.5827562,99.9618832,ศาลาการเปรียญวัดลำกะ,True,1,1,-1
ศรีนครินทร์,ชุมพล,6,partylist,election_day,493,455,22,16,0,0,0,0,1,0,1,0,0,56,1,269,7,0,0,2,0,8,2,1,0,1,0,0,53,1,2,0,6,1,0,2,0,0,0,1,1,1,0,25,2,5,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,455,0,0.0446247464503042,0.0324543610547667,0.922920892494929,269.0,0.5912087912087912,0.4681318681318681,1.5476020755223812,97.11967545638946,False,True,UNUSUAL_VOTING_PATTERN,43,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านหนองหาญ (หนองโหล๊ะ),True,1,1,4
