dataset,cluster_col,cluster_id,unit_count,issue_count,issue_rate,latitude_mean,longitude_mean,districts,subdistricts,invalid_ratio_mean,no_vote_ratio_mean,turnout_mean,winner_ratio_mean,winner_margin_mean,vote_entropy_mean,integrity_score_mean
partylist,geo_dbscan_cluster,3,8,4,0.5,7.6050041,99.9493424,ศรีนครินทร์,ชุมพล,0.033941062695124466,0.022243272066930664,0.9438156652379449,0.5799619773072868,0.42684253296729924,1.5375107828928307,97.85808142390516
partylist,geo_dbscan_cluster,4,4,2,0.5,7.615725099999999,99.9576849,ศรีนครินทร์,ชุมพล,0.031147525857405198,0.01907006096607475,0.9497824131765199,0.6165586375802874,0.4802337993996101,1.4459696730050096,98.06122248780827
partylist,geo_dbscan_cluster,6,7,3,0.42857142857142855,7.780032285714285,100.11545562857144,ควนขนุน,ทะเลน้อย; พนางตุง,0.042550726622526944,0.013752637558267857,0.9436966358192052,0.4265086078960575,0.1690826584506519,1.6387363606686611,97.59741091770829
partylist,geo_dbscan_cluster,15,5,2,0.4,7.5564909,99.9744535,ศรีนครินทร์,อ่างทอง,0.0385250442101619,0.00867502625817286,0.9527999295316653,0.5991082319199422,0.46425894749819524,1.4730078962592121,97.90024726432844
partylist,geo_dbscan_cluster,0,29,11,0.3793103448275862,7.733444331034482,100.00227317586207,ควนขนุน,ควนขนุน; ควนขนุน(เทศบาล); ชะมวง; ดอนทราย; ปันแต; พนางตุง; โตนดด้วน,0.030906237865965743,0.014520663404081719,0.9545730987299524,0.48066874075348465,0.2496379630280315,1.5556754550089449,98.16427483862007
partylist,geo_dbscan_cluster,11,9,3,0.3333333333333333,7.744549033333333,100.06796119999998,ควนขนุน,ปันแต; มะกอกเหนือ; มะกอกเหนือ(เทศบาล),0.018325199591737076,0.01824137963306413,0.9634334207751988,0.4994907872314111,0.29087715784001017,1.5454192829956346,98.71891242775186
partylist,geo_dbscan_cluster,9,6,2,0.3333333333333333,7.8143968,99.94278235000002,ป่าพะยอม,บ้านพร้าว,0.028113579370224216,0.0181180545894779,0.9537683660402977,0.5812585174983739,0.41504310628625185,1.4387782131510638,94.67217733100358
partylist,geo_dbscan_cluster,8,10,3,0.3,7.56524359,99.88162080000001,ศรีนครินทร์,บ้านนา,0.03489373509264334,0.01300814727409717,0.9520981176332594,0.5422141983393052,0.36453957609450244,1.4833937977454332,97.99515029988588
partylist,geo_dbscan_cluster,14,4,1,0.25,7.56349425,99.9233161,ศรีนครินทร์,บ้านนา; ลำสินธ์ุ; อ่างทอง,0.0314654556182631,0.020316897120285803,0.948217647261451,0.5578811941220391,0.4118459810365486,1.569388531011942,98.02038927668113
partylist,geo_dbscan_cluster,16,4,1,0.25,7.83128825,99.868644225,ป่าพะยอม,ป่าพะยอม; ลานข่อย; เกาะเต่า,0.026407501643847725,0.014900232098918848,0.9586922662572332,0.6487903913133647,0.5180545750846456,1.3508237557830092,98.38162027582922
