district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ควนขนุน,ควนขนุน(เทศบาล),1,partylist,election_day,256,238,11,7,0,0,0,0,4,0,0,0,0,34,0,108,1,0,0,0,0,0,0,1,0,0,0,0,56,0,1,0,9,0,0,0,0,0,0,0,2,1,1,12,1,1,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,238,0,0.04296875,0.02734375,0.9296875,108.0,0.453781512605042,0.2184873949579832,1.6453490992487043,97.3046875,False,True,UNUSUAL_VOTING_PATTERN,0,7.734476799999999,100.0124479,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,True,1,1,0
ควนขนุน,ควนขนุน(เทศบาล),2,partylist,election_day,337,320,8,9,0,1,0,0,0,0,1,0,0,45,0,137,2,0,0,0,1,0,0,0,0,0,0,0,87,0,0,0,8,1,0,1,0,0,0,0,2,0,0,15,7,0,0,0,1,0,0,2,0,1,0,0,0,8,0,0,0,320,0,0.0237388724035608,0.0267062314540059,0.9495548961424332,137.0,0.428125,0.15625,1.6259982551336982,98.27893175074183,False,True,UNUSUAL_VOTING_PATTERN,1,7.733656099999999,100.007411,อาคารหอประชุม โรงเรียนบ้านควนขนุน,True,1,1,0
ควนขนุน,ควนขนุน(เทศบาล),3,partylist,election_day,403,390,8,5,0,0,0,0,1,0,0,0,0,51,0,146,4,0,0,0,0,1,0,0,0,0,0,0,117,0,0,0,11,0,0,1,0,0,0,0,2,0,2,31,5,3,0,0,0,2,0,1,0,3,0,0,0,8,0,1,0,390,0,0.0198511166253101,0.0124069478908188,0.967741935483871,146.0,0.3743589743589743,0.0743589743589743,1.7120110162904258,98.75930521091811,False,False,NORMAL,2,7.737481399999999,100.0066003,ศาลาการเปรียญ วัดสุวรรณวิชัย,False,0,1,0
ควนขนุน,ควนขนุน(เทศบาล),4,partylist,election_day,206,199,3,4,0,2,0,0,0,0,1,0,0,34,0,79,2,0,0,0,0,0,1,0,0,0,0,0,51,0,0,0,6,0,0,0,1,0,0,0,1,0,0,13,2,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,199,0,0.0145631067961165,0.0194174757281553,0.9660194174757282,79.0,0.3969849246231156,0.1407035175879397,1.6782058074330737,98.88349514563107,False,False,NORMAL,3,7.7484794,100.0080005,อาคารพ่อท่านนะ วัดสุวรรณวิชัย,False,0,1,0
ควนขนุน,ควนขนุน,1,partylist,election_day,384,365,11,8,0,0,0,0,2,0,1,0,0,46,0,215,3,0,0,1,0,1,1,0,0,1,0,0,41,0,1,2,6,0,0,0,0,0,0,0,3,2,0,29,2,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,365,0,0.0286458333333333,0.0208333333333333,0.9505208333333334,215.0,0.589041095890411,0.4630136986301369,1.484425266885348,98.15104166666666,False,False,NORMAL,4,7.7485644,100.007979,ศาลาประจำหมู่บ้านบ้านควนบก,False,0,0,0
ควนขนุน,ควนขนุน,2,partylist,election_day,305,301,4,0,0,1,0,0,1,6,0,0,0,15,0,202,8,0,0,0,0,2,0,0,0,1,0,0,30,0,0,2,5,0,0,0,1,0,0,0,2,0,0,10,4,1,0,0,0,0,1,0,1,7,0,0,0,0,0,0,1,301,0,0.0131147540983606,0.0,0.9868852459016394,202.0,0.6710963455149501,0.5714285714285714,1.3990992662319806,99.34426229508196,False,False,NORMAL,5,7.7484794,100.0080005,ศาลา อพป.บ้านดอนนูด,False,0,0,0
ควนขนุน,ควนขนุน,3,partylist,election_day,639,612,17,10,0,0,0,2,0,0,0,0,0,70,1,371,7,0,0,0,0,4,1,2,0,1,0,0,99,2,0,0,5,0,1,0,1,0,0,0,3,0,2,23,3,2,0,0,0,1,0,3,0,3,0,0,0,4,0,1,0,612,0,0.0266040688575899,0.0156494522691705,0.9577464788732394,371.0,0.6062091503267973,0.4444444444444444,1.3967770552825187,98.35680751173707,False,False,NORMAL,6,7.747440399999999,99.9966606,ศาลาประจำหมู่บ้านบ้านโคกวัด,False,0,0,0
ควนขนุน,ควนขนุน,4,partylist,election_day,707,671,32,4,0,1,0,0,1,4,5,0,1,89,0,371,12,0,2,0,0,4,0,0,0,0,1,1,99,0,1,3,2,0,0,1,1,1,0,0,7,1,1,27,11,2,0,1,0,1,2,0,1,12,0,1,0,4,0,0,0,671,0,0.0452616690240452,0.0056577086280056,0.9490806223479492,371.0,0.5529061102831595,0.405365126676602,1.6332642524349688,97.62376237623762,False,False,NORMAL,7,7.7516832,100.0132899,ศาลาประจำหมู่บ้านบ้านโคกวา,False,0,0,0
ควนขนุน,ควนขนุน,5,partylist,election_day,381,368,8,5,0,1,0,0,1,0,1,0,1,33,0,214,2,0,1,0,0,10,0,0,0,0,0,0,61,0,0,0,11,0,0,0,0,0,0,0,0,1,0,19,3,0,0,0,0,3,1,1,2,1,0,0,0,1,0,0,0,368,0,0.0209973753280839,0.0131233595800524,0.9658792650918636,214.0,0.5815217391304348,0.4157608695652174,1.4809681978244325,98.68766404199476,False,False,NORMAL,8,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านเพิง,False,0,0,1
ควนขนุน,ควนขนุน,6,partylist,election_day,623,599,22,2,2,0,0,0,1,0,1,0,0,87,3,347,2,0,0,0,0,5,0,1,0,1,2,1,74,0,3,1,3,1,1,0,0,0,0,0,4,0,1,40,4,4,0,0,0,1,0,0,1,5,0,0,0,1,0,1,1,599,0,0.0353130016051364,0.0032102728731942,0.9614767255216692,347.0,0.5792988313856428,0.4340567612687813,1.501969435902883,98.1701444622793,False,False,NORMAL,9,7.7625474,100.0007649,ศาลาประจำหมู่บ้านบ้านควนพลี,False,0,0,1
