district,subdistrict,unit_index,latitude,longitude,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง
กงหรา2,ชะรัด,55,74.7157804,999.8978155,4620,4407,151,62,0,13,0,0,9,2,15,1,9,577,29,2517,38,2,9,2,1,55,5,2,1,3,1,0,651,9,7,10,35,3,10,0,4,0,0,1,26,4,17,189,35,5,0,4,1,6,3,2,16,55,0,10,0,6,4,1,2
กงหรา2,สมหวัง,36,60.0918583,800.0017889,3146,2962,129,55,1,15,2,1,12,1,8,1,3,326,1,1952,26,0,4,3,1,23,0,1,1,1,0,0,301,7,2,13,19,1,2,3,2,1,1,0,27,2,11,95,28,7,0,2,1,5,3,5,7,18,0,2,1,8,3,2,0
ควนขนุน,ควนขนุน,45,69.7885105,900.041715,3701,3559,107,35,2,3,0,2,7,11,12,0,2,437,6,2001,41,1,4,2,1,29,3,3,0,4,3,2,565,2,6,10,46,1,2,1,3,1,0,0,25,4,5,182,36,11,0,1,1,7,5,4,11,31,0,2,0,17,0,2,2
ควนขนุน,ควนขนุน(เทศบาล),10,30.954093699999998,400.0344597,1202,1147,30,25,0,3,0,0,5,0,2,0,0,164,0,470,9,0,0,0,1,1,1,1,0,0,0,0,311,0,1,0,34,1,0,2,1,0,0,0,7,1,3,71,15,5,0,0,1,2,1,4,0,6,0,0,0,23,0,1,0
ควนขนุน,ชะมวง,120,115.2420536,1500.3842686,5810,5563,174,73,1,7,0,2,8,1,17,0,2,726,10,2935,42,0,7,4,1,51,5,5,1,3,1,2,1090,4,9,17,52,3,2,1,2,0,0,0,32,1,17,308,40,16,1,4,0,5,3,5,10,75,1,10,1,19,0,4,0
ควนขนุน,ดอนทราย,66,84.9606249,1099.6867316,3912,3772,99,41,4,18,2,0,9,1,13,1,1,461,3,2120,31,0,4,2,0,17,2,2,0,2,0,2,697,4,8,10,53,1,1,0,5,4,0,1,9,3,9,109,46,12,0,2,5,7,5,4,3,36,1,8,0,30,0,1,3
ควนขนุน,ทะเลน้อย,55,76.3892539,1001.751884,4054,3803,205,46,0,16,0,6,9,0,8,2,2,419,6,1741,37,0,7,3,2,27,10,1,0,5,3,0,946,3,9,17,20,2,6,4,4,0,0,5,21,4,9,294,39,9,0,6,0,8,1,6,5,55,0,7,1,14,0,3,1
ควนขนุน,นาขยาด,78,92.09360170000001,1199.5327223,5564,5300,160,104,0,14,2,1,13,0,11,2,6,749,2,3131,44,2,9,2,0,30,1,3,0,0,3,0,720,1,11,19,56,2,4,1,2,0,1,2,24,9,14,226,52,4,0,3,3,6,7,6,12,49,0,7,1,25,1,4,3
ควนขนุน,ปันแต,91,101.1991392,1300.4613214,4069,3919,107,43,1,2,0,1,5,0,16,0,2,438,4,2317,37,0,7,2,0,35,2,2,0,2,4,0,612,4,4,9,39,2,1,3,1,3,0,0,6,3,10,223,35,10,1,4,2,5,4,2,6,37,0,4,1,10,0,1,0
ควนขนุน,พนมวังก์,36,61.1439949,800.4818751,4228,4018,143,67,0,10,1,1,2,0,10,2,3,519,0,2117,32,0,9,2,1,32,6,4,0,4,1,1,766,1,5,12,50,3,1,0,3,0,0,2,18,2,10,224,32,16,1,3,2,8,3,4,10,43,0,10,3,25,1,2,1
