district,subdistrict,id,index_no,province_number,station_number,บช_ก้าวไกล,บช_ชาติพัฒนากล้า,บช_ชาติไทยพัฒนา,บช_บัตรเสีย,บช_ประชาชาติ,บช_ประชาธิปัตย์,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,บช_พลังประชารัฐ,บช_ภูมิใจไทย,บช_รวมไทยสร้างชาติ,บช_เพื่อไทย,บช_เสรีรวมไทย,บช_ไทยสร้างไทย,บช_ไม่เลือกผู้ใด,เขต_กรีน,เขต_ก้าวไกล,เขต_ครูไทยเพื่อประชาช,เขต_คลองไทย,เขต_ความหวังใหม่,เขต_ชาติพัฒนากล้า,เขต_ชาติรุ่งเรือง,เขต_ชาติไทยพัฒนา,เขต_ช่วยชาติ,เขต_ถิ่นกาขาวชาววิไล,เขต_ทางเลือกใหม่,เขต_ท้องที่ไทย,เขต_บัตรเสีย,เขต_ประชากรไทย,เขต_ประชาชาติ,เขต_ประชาธิปัตย์,เขต_ประชาธิปไตยใหม่,เขต_ประชาภิวัฒน์,เขต_ประชาสามัคคี,เขต_ประชาไทย,เขต_ผู้มาใช้สิทธิ์,เขต_ผู้มีสิทธิ์,เขต_พลัง,เขต_พลังธรรมใหม่,เขต_พลังบูรพา,เขต_พลังประชาธิปไตย,เขต_พลังประชารัฐ,เขต_พลังปวงชนไทย,เขต_พลังสยาม,เขต_พลังสหกรณ์,เขต_พลังสังคม,เขต_พลังสังคมใหม่,เขต_พลังเพื่อไทย,เขต_พลังไทยรักชาติ,เขต_ภราดรภาพ,เขต_ภาคีเครือข่ายไทย,เขต_ภูมิใจไทย,เขต_มิติใหม่,เขต_รวมพลัง,เขต_รวมแผ่นดิน,เขต_รวมใจไทย,เขต_รวมไทยสร้างชาติ,เขต_รักษ์ธรรม,เขต_รักษ์ผืนป่าประเทศ,เขต_ราษฎร์วิถี,เขต_สังคมประชาธิปไตยไ,เขต_สามัญชน,เขต_อนาคตไทย,เขต_เปลี่ยน,เขต_เปลี่ยนอนาคต,เขต_เป็นธรรม,เขต_เพื่อชาติ,เขต_เพื่อชาติไทย,เขต_เพื่ออนาคตไทย,เขต_เพื่อไทย,เขต_เพื่อไทรวมพลัง,เขต_เสมอภาค,เขต_เสรีรวมไทย,เขต_เส้นด้าย,เขต_แนวทางใหม่,เขต_แผ่นดินธรรม,เขต_แรงงานสร้างชาติ,เขต_ใหม่,เขต_ไทยก้าวหน้า,เขต_ไทยชนะ,เขต_ไทยธรรม,เขต_ไทยพร้อม,เขต_ไทยภักดี,เขต_ไทยรวมไทย,เขต_ไทยศรีวิไลย์,เขต_ไทยสมาร์ท,เขต_ไทยสร้างไทย,เขต_ไทยเป็นหนึ่ง,เขต_ไม่เลือกผู้ใด
กงหรา,ชะรัด,1674825,926735.0,20,55.0,1335,37,1,210,169,272,4698,5641,91,467,1296,417,15,12,50,0.0,353.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,538,0.0,0.0,0.0,0.0,4698,5641,0.0,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.0,0.0,0.0,0.0,0.0,1366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,18.0,0.0,83
กงหรา,สมหวัง,1339932,737980.0,16,36.0,769,21,0,141,5,315,3187,3857,69,331,991,220,15,9,54,0.0,163.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,121,0.0,0.0,340,0.0,0.0,0.0,0.0,3187,3857,0.0,0.0,0.0,0.0,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.0,0.0,0.0,0.0,0.0,1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,43
ควนขนุน,ควนขนุน,2177526,1201973.0,26,55.0,1057,69,1,214,9,255,4892,6288,127,405,2009,401,24,13,44,0.0,378.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,127,0.0,0.0,405,0.0,0.0,0.0,0.0,4892,6288,0.0,0.0,0.0,0.0,427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583.0,0.0,0.0,0.0,0.0,1680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,28.0,0.0,82
ควนขนุน,ชะมวง,2512740,1386420.0,30,120.0,1635,87,6,261,2,335,5425,6505,134,636,1461,648,36,40,50,0.0,396.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,160,0.0,0.0,492,0.0,0.0,0.0,0.0,5818,6950,0.0,0.0,0.0,0.0,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.0,0.0,0.0,0.0,0.0,1315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,49.0,0.0,66
ควนขนุน,ดอนทราย,1842819,1016312.0,22,66.0,1104,59,3,190,6,288,4006,4736,91,349,1136,424,55,22,57,0.0,209.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0.0,0.0,261,0.0,0.0,0.0,0.0,4006,4736,0.0,0.0,0.0,0.0,368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0,0.0,0.0,876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,38.0,0.0,57
ควนขนุน,ทะเลน้อย,1675395,923285.0,20,55.0,819,38,7,253,1,124,4142,5271,126,549,1441,464,21,8,27,0.0,199.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.0,0.0,209,0.0,0.0,0.0,0.0,4142,5271,0.0,0.0,0.0,0.0,415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.0,0.0,0.0,0.0,0.0,1414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,6.0,0.0,42
ควนขนุน,นาขยาด,2010606,1108074.0,24,78.0,1503,92,3,190,12,533,5593,6797,94,461,1711,512,45,29,100,0.0,400.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,168,0.0,0.0,936,0.0,0.0,0.0,0.0,5593,6797,0.0,0.0,0.0,0.0,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857.0,0.0,0.0,0.0,0.0,1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,37.0,0.0,161
ควนขนุน,ปันแต,2178319,1200797.0,26,91.0,968,70,1,151,5,203,4153,5050,126,433,1494,429,27,11,32,0.0,226.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,119,0.0,0.0,243,0.0,0.0,0.0,0.0,4153,5050,0.0,0.0,0.0,0.0,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292.0,0.0,0.0,0.0,0.0,1809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,44
ควนขนุน,พนมวังก์,1340588,738796.0,16,36.0,1050,56,0,162,4,252,4333,5193,70,465,1275,256,27,14,56,0.0,281.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,126,0.0,0.0,242,0.0,0.0,0.0,0.0,4333,5203,0.0,0.0,0.0,0.0,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520.0,0.0,0.0,0.0,0.0,1117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,23.0,0.0,74
ควนขนุน,พนางตุง,2178592,1201382.0,26,91.0,1494,60,4,312,4,196,6499,8257,190,927,2058,692,71,20,58,0.0,560.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,250,0.0,0.0,256,0.0,0.0,0.0,0.0,6499,8257,0.0,0.0,0.0,0.0,627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2158.0,0.0,0.0,0.0,0.0,2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,26.0,0.0,75
