dataset,segment,rank,name,votes,vote_share,election_day_vote_share,share_diff_vs_election_day
constituency,election_day_baseline,1,วรท เทอดวีระพงศ์,56774.0,0.5146674885778519,0.5146674885778519,0.0
constituency,election_day_baseline,2,นิติศักดิ์ ธรรมเพชร,34814.0,0.31559576474001017,0.31559576474001017,0.0
constituency,election_day_baseline,3,ภพเอกอัคร อินทรโม,10971.0,0.09945427514685619,0.09945427514685619,0.0
constituency,election_day_baseline,4,ศุภกร ขุนชิต,6275.0,0.05688411052288056,0.05688411052288056,0.0
constituency,election_day_baseline,5,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,848.0,0.007687286967872942,0.007687286967872942,0.0
constituency,election_day_baseline,6,อธิคม ขุนแก้ว,389.0,0.003526361592573791,0.003526361592573791,0.0
constituency,election_day_baseline,7,สมเสริม ชูรักษ์,241.0,0.0021847124519544566,0.0021847124519544566,0.0
constituency,out_of_district_advance_aggregated,1,ศุภกร ขุนชิต,2477.0,0.36652855874519086,0.05688411052288056,0.3096444482223103
constituency,out_of_district_advance_aggregated,2,วรท เทอดวีระพงศ์,2147.0,0.31769754365196806,0.5146674885778519,-0.19696994492588388
constituency,out_of_district_advance_aggregated,3,นิติศักดิ์ ธรรมเพชร,996.0,0.14738088191772714,0.31559576474001017,-0.16821488282228303
constituency,out_of_district_advance_aggregated,4,ภพเอกอัคร อินทรโม,859.0,0.12710861201538917,0.09945427514685619,0.027654336868532983
constituency,out_of_district_advance_aggregated,5,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,147.0,0.02175199763243563,0.007687286967872942,0.014064710664562687
constituency,out_of_district_advance_aggregated,6,อธิคม ขุนแก้ว,76.0,0.011245930748742231,0.003526361592573791,0.00771956915616844
constituency,out_of_district_advance_aggregated,7,สมเสริม ชูรักษ์,56.0,0.008286475288546907,0.0021847124519544566,0.00610176283659245
constituency,in_district_advance,1,วรท เทอดวีระพงศ์,5.0,0.5555555555555556,0.5146674885778519,0.04088806697770364
constituency,in_district_advance,2,นิติศักดิ์ ธรรมเพชร,3.0,0.3333333333333333,0.31559576474001017,0.01773756859332315
constituency,in_district_advance,3,ภพเอกอัคร อินทรโม,1.0,0.1111111111111111,0.09945427514685619,0.011656835964254916
constituency,in_district_advance,4,ศุภกร ขุนชิต,0.0,0.0,0.05688411052288056,-0.05688411052288056
constituency,in_district_advance,5,สมเสริม ชูรักษ์,0.0,0.0,0.0021847124519544566,-0.0021847124519544566
constituency,in_district_advance,6,อธิคม ขุนแก้ว,0.0,0.0,0.003526361592573791,-0.003526361592573791
constituency,in_district_advance,7,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,0.0,0.0,0.007687286967872942,-0.007687286967872942
constituency,advance_total,1,ศุภกร ขุนชิต,2477.0,0.3660410817201123,0.05688411052288056,0.30915697119723173
constituency,advance_total,2,วรท เทอดวีระพงศ์,2152.0,0.3180138909413329,0.5146674885778519,-0.19665359763651902
constituency,advance_total,3,นิติศักดิ์ ธรรมเพชร,999.0,0.14762819565538643,0.31559576474001017,-0.16796756908462374
constituency,advance_total,4,ภพเอกอัคร อินทรโม,860.0,0.12708733559923158,0.09945427514685619,0.027633060452375388
constituency,advance_total,5,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,147.0,0.021723067829170977,0.007687286967872942,0.014035780861298034
constituency,advance_total,6,อธิคม ขุนแก้ว,76.0,0.011230973843653022,0.003526361592573791,0.007704612251079232
constituency,advance_total,7,สมเสริม ชูรักษ์,56.0,0.008275454411112753,0.0021847124519544566,0.006090741959158296
partylist,election_day_baseline,1,ประชาธิปัตย์,61924.0,0.5646960121832225,0.5646960121832225,0.0
partylist,election_day_baseline,2,ภูมิใจไทย,16897.0,0.15408675986467138,0.15408675986467138,0.0
partylist,election_day_baseline,3,ประชาชน,13930.0,0.1270301571234463,0.1270301571234463,0.0
partylist,election_day_baseline,4,เพื่อไทย,5746.0,0.05239879991610356,0.05239879991610356,0.0
partylist,election_day_baseline,5,ไทยทรัพย์ทวี,1247.0,0.01137161564486271,0.01137161564486271,0.0
partylist,election_day_baseline,6,รวมไทยสร้างชาติ,1222.0,0.011143636181252792,0.011143636181252792,0.0
partylist,election_day_baseline,7,เศรษฐกิจ,1171.0,0.01067855807548856,0.01067855807548856,0.0
partylist,election_day_baseline,8,ประชาธิปไดยใหม่,1020.0,0.009301562115284654,0.009301562115284654,0.0
partylist,election_day_baseline,9,พลวัต,951.0,0.008672338795721282,0.008672338795721282,0.0
partylist,election_day_baseline,10,เพื่อชาติไทย,591.0,0.005389434519738462,0.005389434519738462,0.0
partylist,election_day_baseline,11,ไทยภักดี,438.0,0.003994200202445764,0.003994200202445764,0.0
partylist,election_day_baseline,12,ทางเลือกไทย,404.0,0.003684148131936275,0.003684148131936275,0.0
partylist,out_of_district_advance_aggregated,1,ประชาชน,3497.0,0.49184247538677917,0.1270301571234463,0.3648123182633328
partylist,out_of_district_advance_aggregated,2,ประชาธิปัตย์,2017.0,0.2836849507735584,0.5646960121832225,-0.28101106140966414
partylist,out_of_district_advance_aggregated,3,ภูมิใจไทย,858.0,0.12067510548523207,0.15408675986467138,-0.03341165437943931
partylist,out_of_district_advance_aggregated,4,เพื่อไทย,247.0,0.034739803094233475,0.05239879991610356,-0.017658996821870082
partylist,out_of_district_advance_aggregated,5,รวมไทยสร้างชาติ,91.0,0.01279887482419128,0.011143636181252792,0.001655238642938487
partylist,out_of_district_advance_aggregated,6,เศรษฐกิจ,75.0,0.010548523206751054,0.01067855807548856,-0.0001300348687375049
partylist,out_of_district_advance_aggregated,7,ประชาธิปไดยใหม่,42.0,0.00590717299578059,0.009301562115284654,-0.003394389119504064
partylist,out_of_district_advance_aggregated,8,ไทยภักดี,27.0,0.0037974683544303796,0.003994200202445764,-0.00019673184801538438
partylist,out_of_district_advance_aggregated,9,ไทยก้าวใหม่,23.0,0.0032348804500703233,0.0012037315678603672,0.002031148882209956
partylist,out_of_district_advance_aggregated,10,กล้าธรรม,23.0,0.0032348804500703233,0.002316271350276767,0.0009186090997935561
partylist,out_of_district_advance_aggregated,11,ทางเลือกไทย,22.0,0.0030942334739803095,0.003684148131936275,-0.0005899146579559657
partylist,out_of_district_advance_aggregated,12,เสรีรวมไทย,21.0,0.002953586497890295,0.0022341987433771968,0.0007193877545130984
partylist,in_district_advance,1,ประชาธิปัตย์,5.0,0.5555555555555556,0.5646960121832225,-0.009140456627666937
partylist,in_district_advance,2,ไทยพร้อม,1.0,0.1111111111111111,0.0013131617103931278,0.10979794940071798
partylist,in_district_advance,3,ประชาชน,1.0,0.1111111111111111,0.1270301571234463,-0.01591904601233521
partylist,in_district_advance,4,ภูมิใจไทย,1.0,0.1111111111111111,0.15408675986467138,-0.042975648753560275
partylist,in_district_advance,5,ไทยทรัพย์ทวี,1.0,0.1111111111111111,0.01137161564486271,0.0997394954662484
partylist,in_district_advance,6,ไทยพิทักษ์ธรรม,0.0,0.0,0.00010943014253276065,-0.00010943014253276065
partylist,in_district_advance,7,ไทรวมพลัง,0.0,0.0,0.000392124677409059,-0.000392124677409059
